Cell	Plate Number	Classification	Percent_Mitochondrial	Clusters
X206_2	P2	engaging	14.0190158666701	0
X207_2	P2	engaging	22.4956081430195	4
X208_2	P2	engaging	17.5162173780738	0
X209_2	P2	engaging	21.6736359514333	0
X210_2	P2	engaging	15.0761137077795	0
X211_2	P2	engaging	15.490204259225	0
X213_2	P2	engaging	22.4869572692739	0
X215_2	P2	engaging	28.2533398298536	0
X216_2	P2	engaging	20.7585666217052	2
X217_2	P2	engaging	22.6583213804494	3
X218_2	P2	engaging	19.7218611322784	0
X220_2	P2	engaging	17.773124978722	0
X221_2	P2	engaging	28.4727033453677	2
X223_2	P2	engaging	17.4870972241596	2
X224_2	P2	engaging	19.6584838405219	2
X227_2	P2	engaging	22.1153158559652	0
X228_2	P2	engaging	27.5977178032628	0
X229_2	P2	engaging	23.2270176261982	2
X230_2	P2	engaging	24.0823527149669	2
X231_2	P2	engaging	27.3029500273915	2
X232_2	P2	engaging	21.8222979502221	2
X233_2	P2	engaging	21.859487793581	3
X234_2	P2	engaging	23.439317792776	0
X235_2	P2	engaging	20.9092825365832	3
X236_2	P2	engaging	24.4155027695654	2
X238_2	P2	engaging	21.9994971224227	0
X239_2	P2	engaging	16.0569775747443	0
X240_2	P2	engaging	23.1361984058663	2
X241_2	P2	engaging	21.4700987529214	0
X242_2	P2	engaging	11.6206406334008	0
X244_2	P2	engaging	17.903414471119	2
X245_2	P2	engaging	20.3181797847136	0
X247_2	P2	engaging	22.6571905628427	3
X248_2	P2	engaging	18.9892485123623	3
X249_2	P2	engaging	20.7717411295826	0
X251_2	P2	engaging	22.3186420035015	0
X253_2	P2	engaging	24.0167060478654	0
X254_2	P2	engaging	11.2215461765476	0
X255_2	P2	engaging	29.7822239493251	0
X256_2	P2	engaging	23.9627962224972	0
X258_2	P2	engaging	22.3922574241046	3
X259_2	P2	engaging	20.1585789854157	0
X260_2	P2	engaging	26.6288245761187	0
X261_2	P2	engaging	16.3956525046272	0
X262_2	P2	engaging	21.4034869962804	0
X263_2	P2	engaging	22.5054967047567	0
X264_2	P2	engaging	21.5008694686201	0
X265_2	P2	engaging	20.7740729119306	0
X266_2	P2	engaging	19.2807722352416	3
X267_2	P2	engaging	19.3214659685864	0
X268_2	P2	engaging	16.3624601672377	0
X269_2	P2	engaging	22.815708267246	4
X270_2	P2	engaging	22.2249560632689	2
X271_2	P2	engaging	19.8758818569264	3
X272_2	P2	engaging	19.3680804312653	3
X273_2	P2	engaging	26.586478893973	0
X274_2	P2	engaging	29.0927061405219	2
X275_2	P2	engaging	21.9698164275121	0
X276_2	P2	engaging	20.6166795321665	3
X277_2	P2	engaging	29.9876933996554	2
X278_2	P2	engaging	26.2879014682543	0
X279_2	P2	engaging	24.8906738740927	0
X280_2	P2	engaging	21.5186488926058	3
X281_2	P2	engaging	22.7149630004783	0
X282_2	P2	engaging	21.0514653547783	0
X283_2	P2	engaging	22.6175930805769	3
X284_2	P2	engaging	22.098054464044	0
X285_2	P2	engaging	15.0369204130273	0
X286_2	P2	engaging	18.5617139371838	0
X287_2	P2	engaging	26.1570958541056	0
X288_2	P2	engaging	21.7995952366068	3
X289_2	P2	engaging	16.0594212178774	0
X290_2	P2	engaging	19.6795906384644	0
X291_2	P2	engaging	23.492030287759	0
X292_2	P2	engaging	24.9365993465198	0
X293_2	P2	engaging	22.5505879024316	2
X294_2	P2	engaging	12.7166427518733	0
X295_2	P2	engaging	16.9681771952166	0
X297_2	P2	engaging	21.1784951231696	0
X300_2	P2	engaging	20.6789933725541	3
X301_2	P2	engaging	23.6704150080928	0
X303_2	P2	engaging	27.4722098710538	0
X304_2	P2	engaging	25.951294162501	0
X305_2	P2	engaging	13.8651995416905	0
X306_2	P2	engaging	20.9902392132873	0
X307_2	P2	engaging	20.3916506320481	2
X308_2	P2	engaging	26.8561113013165	2
X309_2	P2	engaging	13.3478944909096	4
X310_2	P2	engaging	20.4254490098503	0
X311_2	P2	engaging	16.8908780094021	0
X312_2	P2	engaging	17.0017106984449	0
X313_2	P2	engaging	16.0280141452094	0
X314_2	P2	engaging	16.9511223067983	0
X315_2	P2	engaging	16.8420276660756	0
X316_2	P2	engaging	18.8524627377272	3
X317_2	P2	engaging	20.4626701821218	0
X318_2	P2	engaging	19.8233938725401	0
X319_2	P2	engaging	18.0909378299225	0
X320_2	P2	engaging	19.6541631257875	3
X321_2	P2	engaging	20.8282160993659	0
X322_2	P2	engaging	17.2564760860099	0
X324_2	P2	engaging	18.5631255050662	3
X325_2	P2	engaging	20.5851723880891	3
X326_2	P2	engaging	18.2111931649241	0
X327_2	P2	engaging	18.4678928117876	3
X328_2	P2	engaging	17.989555008848	3
X329_2	P2	engaging	13.3063954638843	0
X330_2	P2	engaging	13.5412750385647	0
X331_2	P2	engaging	16.4757889325424	4
X332_2	P2	engaging	19.4831749362712	3
X333_2	P2	engaging	20.8954750017859	2
X334_2	P2	engaging	12.929353671805	0
X335_2	P2	engaging	24.4585445589388	2
X337_2	P2	engaging	21.8894326579979	0
X338_2	P2	engaging	18.043450249878	0
X339_2	P2	engaging	15.7838306167759	0
X340_2	P2	engaging	14.5396948651476	0
X341_2	P2	engaging	19.4977530799785	2
X342_2	P2	engaging	15.1965865835151	3
X343_2	P2	engaging	26.2886764160526	0
X344_2	P2	engaging	24.2157931407845	3
X345_2	P2	engaging	18.9843803380843	2
X346_2	P2	engaging	21.7418231256844	3
X347_2	P2	engaging	17.8779309183312	0
X348_2	P2	engaging	18.7816239842684	0
X349_2	P2	engaging	29.7256685719495	0
X351_2	P2	engaging	25.6356658303617	2
X352_2	P2	engaging	22.6721350203126	0
X353_2	P2	engaging	20.0929295484802	3
X354_2	P2	engaging	24.4982366860134	3
X355_2	P2	engaging	22.7728835393355	2
X356_2	P2	engaging	8.70329378964578	0
X361_2	P2	engaging	18.5810532105046	0
X362_2	P2	engaging	19.9905825949231	3
X363_2	P2	engaging	20.0547076391265	0
X364_2	P2	engaging	18.7322394852309	0
X365_2	P2	engaging	22.5709484354499	2
X366_2	P2	engaging	29.5222223440452	0
X367_2	P2	engaging	25.0694892888228	0
X368_2	P2	engaging	25.1394079076763	0
X370_2	P2	engaging	18.5289093675537	0
X371_2	P2	engaging	19.1122144911217	3
X372_2	P2	engaging	16.2236416233558	0
X373_2	P2	engaging	19.5060994190561	0
X374_2	P2	engaging	16.5504669945404	0
X375_2	P2	engaging	23.963383536794	0
X376_2	P2	engaging	25.8821684531811	2
X377_2	P2	engaging	18.7222133603296	0
X378_2	P2	engaging	26.2897935476155	2
X379_2	P2	engaging	21.7013392832768	0
X380_2	P2	engaging	20.5972422561481	4
X001_3	P3	engaging	15.8763672892328	4
X002_3	P3	engaging	24.3805860391447	2
X003_3	P3	engaging	17.3484826057081	3
